ID,Country,latitude,longitude,2000,2010,2020,2030,2040,2050
1,Argentina,-38.424194,-63.584806,1160,1313,1455,1569,1655,1719
2,Bolivia,-16.288345,-63.549427,166,216,267,317,361,396
3,Brazil,-14.242916,-51.412289,4047,4928,5635,6167,6556,6804
4,Chile,-32.5,-69.4,332,382,425,457,478,487
5,Colombia,4.579905,-74.298969,307,367,424,476,516,543
6,Costa Rica,8.35818,-84.819889,88,114,139,163,183,199
7,El Salvador,13.796865,-88.905769,46,56,67,79,90,99
8,Guatemala,14.63172,-90.467438,181,280,431,634,881,1162
9,Panama,8.424175,-80.112782,50,67,83,96,107,116
10,Paraguay,-23.451385,-58.453211,102,136,173,209,243,271
11,Uruguay,-32.56508,-55.758324,130,134,140,145,148,149
12,Venezuela,6.47279,-66.589041,585,730,856,959,1039,1096
13,Nicaragua,12.86672,-85.141186,35,42,51,61,70,77
14,Mexico,23.625735,-102.785282,817,941,1066,1169,1240,1270
15,Ecuador,-1.781565,-83.430656,248,308,373,429,472,503